gamma,p_lower_bound,p_upper_bound,still_significant
1.0,0.0,0.0,True
1.1,0.0,0.0,True
1.25,0.0,0.0,True
1.5,0.0,0.0,True
1.75,0.0,3.3306690738754696e-16,True
2.0,0.0,8.063252486811834e-06,True
2.1,0.0,0.0016056166919000692,True
2.2,0.0,0.04988101167043513,True
2.3,0.0,0.34313200332144933,False
2.4,0.0,0.7837972752981626,False
2.5,0.0,0.9729401130622426,False
2.75,0.0,0.999997818785671,False
3.0,0.0,0.9999999999990212,False
4.0,0.0,1.0,False
5.0,0.0,1.0,False
7.0,0.0,1.0,False
10.0,0.0,1.0,False
